Datetime,RWY 09 (BEG),RWY 10 (TDZ),RWY 11 (BEG),RWY 11 (TDZ),RWY 27 (MID),RWY 28 (MID),RWY 28 (BEG),RWY 28 (TDZ),RWY 29 (BEG),RWY 09 (TDZ),RWY 29 (MID),RWY_09_BEG_predicted,RWY_09_TDZ_predicted,RWY_10_TDZ_predicted,RWY_11_BEG_predicted,RWY_11_TDZ_predicted,RWY_27_MID_predicted,RWY_28_BEG_predicted,RWY_28_MID_predicted,RWY_28_TDZ_predicted,RWY_29_BEG_predicted,RWY_29_MID_predicted
2024-02-16 02:50:00,1305.3,1960.1333333333332,2752.35,1247.0181818181818,1720.0,3192.7833333333333,3333.0,16.0,1430.1833333333334,3333.0,3333.0,1277.2534,3323.1824,2097.4695,2506.2798,700.2764,1707.2731,3270.6858,1805.6804,65.92257,1231.7675,3316.2134
2024-02-16 03:00:00,1360.3833333333334,2232.55,3262.0666666666666,1261.627118644068,1797.2166666666667,3333.0,3333.0,16.0,1316.0333333333333,3333.0,3333.0,1340.1714,3331.292,2463.0735,2950.3374,1441.8229,1777.4388,3326.8777,3349.4312,65.92257,1542.1279,3329.898
2024-02-16 03:10:00,1362.4,3166.75,3330.5,1088.8070175438595,1883.6,3333.0,3333.0,16.0,1350.4,3333.0,3333.0,1376.746,3331.292,2405.4893,3218.2607,1191.9601,1841.4769,3324.0764,3281.3772,65.92257,1303.1938,3329.898
2024-02-16 03:20:00,1344.4833333333331,3333.0,3333.0,1005.8363636363636,1947.0666666666664,3333.0,3333.0,16.0,1436.5333333333333,3333.0,3333.0,1363.5433,3331.292,3250.5803,3292.162,1043.8882,1921.5845,3331.065,3326.0225,65.92257,1357.7166,3329.898
2024-02-16 03:30:00,1420.2666666666669,3333.0,3333.0,921.2413793103448,2076.35,3333.0,3333.0,16.0,1468.6,3333.0,3333.0,1361.5591,3331.292,3310.7979,3318.9753,1035.5719,1998.3699,3331.065,3331.0073,65.92257,1475.3833,3329.898
2024-02-16 03:40:00,1542.2,3333.0,3333.0,1094.561403508772,2132.9,3333.0,3333.0,16.0,1649.1,3333.0,3333.0,1469.3535,3331.292,3325.964,3325.187,949.57825,2131.102,3331.065,3331.0073,65.92257,1527.5695,3329.898
2024-02-16 03:50:00,1641.0333333333333,2042.0833333333333,3333.0,1325.1694915254238,2191.65,3333.0,3333.0,16.0,1781.8666666666666,3333.0,3333.0,1608.5402,3331.292,3329.792,3330.0503,1088.231,2144.04,3331.065,3331.0073,65.92257,1731.5343,3329.898
2024-02-16 04:00:00,1777.15,2256.616666666667,3333.0,1092.142857142857,2253.0,3333.0,3333.0,42.4,1897.1333333333332,3333.0,3333.0,1684.6674,3331.292,1789.6321,3330.0503,1453.8701,2228.379,3331.065,3331.0073,65.92257,1891.6605,3329.898
2024-02-16 04:10:00,1927.0833333333333,2770.5333333333333,3333.0,964.5438596491229,2377.9666666666667,3333.0,3333.0,16.0,1984.45,3333.0,3333.0,1864.1664,3331.292,2928.1094,3330.0503,1071.9791,2296.6738,3331.065,3331.0073,1638.195,1991.473,3329.898
2024-02-16 04:20:00,2170.3166666666666,3287.0,3333.0,863.7166666666667,2579.1666666666665,3333.0,3333.0,1299.6101694915253,2103.516666666667,3333.0,3333.0,2033.3723,3331.292,3090.1633,3330.0503,1017.9929,2409.5898,3331.065,3331.0073,570.527,2039.8148,3329.898
2024-02-16 04:30:00,2218.0666666666666,3333.0,3333.0,806.5272727272727,2812.6,3333.0,3333.0,1657.2833333333333,2307.4,3333.0,3333.0,2328.2412,3331.292,3271.3381,3330.0503,886.82776,2686.6575,3331.065,3331.0073,1545.7653,2153.037,3329.898
2024-02-16 04:40:00,2530.866666666667,3333.0,3333.0,746.3898305084746,2920.583333333333,3333.0,3333.0,1672.75,2634.93220338983,3333.0,3333.0,2203.9146,3331.292,3320.98,3330.0503,828.417,2884.6565,3331.065,3331.0073,1658.0063,2495.5112,3329.898
